total_affected,total_percent_affected,total_percent_active,total_served,total_outages,date_generated
346104,14.14,85.86,2448168,6236,2023-02-23T03:33:06.006Z
346104,14.14,85.86,2448168,6236,2023-02-23T03:33:06.006Z
363692,14.86,85.14,2448168,6554,2023-02-23T03:42:28.051Z
370996,15.15,84.85,2448168,6815,2023-02-23T03:53:00.623Z
370996,15.15,84.85,2448168,6815,2023-02-23T03:53:00.623Z
377787,15.43,84.57,2448168,6920,2023-02-23T04:13:35.726Z
388153,15.85,84.15,2448168,6900,2023-02-23T04:32:32.227Z
392152,16.02,83.98,2448168,6892,2023-02-23T04:43:06.500Z
392152,16.02,83.98,2448168,6892,2023-02-23T04:43:06.500Z
394307,16.11,83.89,2448168,6889,2023-02-23T04:53:09.647Z
404112,16.51,83.49,2448168,6794,2023-02-23T05:12:32.469Z
402202,16.43,83.57,2448168,6791,2023-02-23T05:24:24.422Z
405984,16.58,83.42,2448168,6785,2023-02-23T05:32:49.240Z
411200,16.8,83.2,2448168,6972,2023-02-23T05:43:11.999Z
411200,16.8,83.2,2448168,6972,2023-02-23T05:43:11.999Z
413237,16.88,83.12,2448168,7005,2023-02-23T05:53:02.900Z
414182,16.92,83.08,2448168,6999,2023-02-23T06:12:38.371Z
423421,17.3,82.7,2448168,6980,2023-02-23T06:32:46.858Z
425040,17.36,82.64,2448168,7020,2023-02-23T06:42:36.256Z
426059,17.4,82.6,2448168,7194,2023-02-23T06:52:46.155Z
426059,17.4,82.6,2448168,7194,2023-02-23T06:52:46.155Z
427689,17.47,82.53,2448168,7170,2023-02-23T07:12:47.617Z
432185,17.65,82.35,2448168,7222,2023-02-23T07:22:58.706Z
433533,17.71,82.29,2448168,7230,2023-02-23T07:32:37.767Z
433533,17.71,82.29,2448168,7230,2023-02-23T07:32:37.767Z
434851,17.76,82.24,2448168,7234,2023-02-23T07:42:53.264Z
437322,17.86,82.14,2448168,7244,2023-02-23T07:53:34.588Z
443114,18.1,81.9,2448168,7281,2023-02-23T08:12:49.943Z
445717,18.21,81.79,2448168,7447,2023-02-23T08:33:05.936Z
451614,18.45,81.55,2448168,7444,2023-02-23T08:42:08.859Z
451614,18.45,81.55,2448168,7444,2023-02-23T08:42:08.859Z
449676,18.37,81.63,2448168,7572,2023-02-23T08:52:57.197Z
457359,18.68,81.32,2448168,7658,2023-02-23T09:13:45.319Z
458437,18.73,81.27,2448168,7426,2023-02-23T09:23:33.785Z
459352,18.76,81.24,2448168,7316,2023-02-23T09:32:57.848Z
462878,18.91,81.09,2448168,7282,2023-02-23T09:43:46.053Z
462878,18.91,81.09,2448168,7282,2023-02-23T09:43:46.053Z
463031,18.91,81.09,2448168,7276,2023-02-23T09:53:11.289Z
462645,18.9,81.1,2448168,7335,2023-02-23T10:13:32.108Z
462578,18.89,81.11,2448168,7368,2023-02-23T10:33:36.005Z
462578,18.89,81.11,2448168,7368,2023-02-23T10:33:36.005Z
462569,18.89,81.11,2448168,7385,2023-02-23T10:43:06.238Z
462507,18.89,81.11,2448168,7403,2023-02-23T10:53:06.012Z
462453,18.89,81.11,2448168,7434,2023-02-23T11:02:42.041Z
462382,18.89,81.11,2448168,7508,2023-02-23T11:23:36.918Z
462382,18.89,81.11,2448168,7508,2023-02-23T11:23:36.918Z
462345,18.89,81.11,2448168,7550,2023-02-23T11:33:43.433Z
462317,18.88,81.12,2448168,7576,2023-02-23T11:43:37.102Z
462298,18.88,81.12,2448168,7625,2023-02-23T11:53:09.237Z
468624,19.14,80.86,2448168,7939,2023-02-23T12:43:07.565Z
470811,19.23,80.77,2448168,8208,2023-02-23T13:13:16.618Z
499812,20.42,79.58,2448168,8749,2023-02-23T13:32:39.723Z
512545,20.94,79.06,2448168,9416,2023-02-23T13:43:03.719Z
516620,21.1,78.9,2448168,9563,2023-02-23T13:53:37.905Z
519100,21.2,78.8,2448168,9730,2023-02-23T14:03:14.876Z
520400,21.26,78.74,2448168,9892,2023-02-23T14:24:36.406Z
522313,21.33,78.67,2448168,10026,2023-02-23T14:32:56.664Z
522313,21.33,78.67,2448168,10026,2023-02-23T14:32:56.664Z
528558,21.59,78.41,2448168,10142,2023-02-23T14:42:54.403Z
533063,21.77,78.23,2448168,10276,2023-02-23T14:53:52.969Z
538027,21.98,78.02,2448168,10521,2023-02-23T15:13:03.067Z
535163,21.86,78.14,2448168,10554,2023-02-23T15:23:06.630Z
541304,22.11,77.89,2448168,10581,2023-02-23T15:33:11.492Z
542951,22.18,77.82,2448168,10756,2023-02-23T15:43:04.771Z
544824,22.25,77.75,2448168,10841,2023-02-23T15:53:50.597Z
546439,22.32,77.68,2448168,11062,2023-02-23T16:02:44.127Z
563518,23.02,76.98,2448168,11445,2023-02-23T16:33:41.309Z
571777,23.36,76.64,2448168,11622,2023-02-23T16:53:11.148Z
575693,23.52,76.48,2448168,11645,2023-02-23T17:03:10.022Z
580085,23.69,76.31,2448168,11808,2023-02-23T17:23:24.154Z
580085,23.69,76.31,2448168,11808,2023-02-23T17:23:24.154Z
585251,23.91,76.09,2448168,12407,2023-02-23T17:34:20.075Z
586435,23.95,76.05,2448168,12603,2023-02-23T17:43:27.059Z
587087,23.98,76.02,2448168,12624,2023-02-23T17:54:22.289Z
592992,24.22,75.78,2448168,11942,2023-02-23T18:12:38.927Z
600991,24.55,75.45,2448168,12141,2023-02-23T18:34:14.550Z
601846,24.58,75.42,2448168,12110,2023-02-23T18:42:45.293Z
601846,24.58,75.42,2448168,12110,2023-02-23T18:42:45.293Z
