date_generated,number_crews,number_customers_affected,percent_with_power
2023-02-22T23:35:00.000Z,430,325867,85.52
2023-02-23T01:55:00.000Z,430,382525,83.00
2023-02-23T07:10:00.000Z,1360,461332,79.50
2023-02-23T09:15:00.000Z,1360,461332,79.50
2023-02-23T11:20:00.000Z,3210,479838,78.68
2023-02-23T17:55:00.000Z,3760,504343,77.59
2023-02-23T21:20:00.000Z,3760,518877,76.94
2023-02-23T21:35:00.000Z,3760,518877,76.94
2023-02-24T10:45:00.000Z,4090,467938,79.21
2023-02-24T14:15:00.000Z,4270,465734,79.31
2023-02-24T15:30:00.000Z,4270,463270,79.42
2023-02-24T15:40:00.000Z,4270,463270,79.42
2023-02-24T17:50:00.000Z,4270,419548,81.36
2023-02-24T18:15:00.000Z,4270,412846,81.66
2023-02-24T23:05:00.000Z,4270,337451,85.01
2023-02-24T23:45:00.000Z,260,346762,84.59
2023-02-25T00:05:00.000Z,260,325130,85.55
2023-02-25T08:20:00.000Z,2740,286934,87.25
2023-02-25T11:20:00.000Z,3920,290030,87.11
2023-02-25T11:55:00.000Z,3920,290881,87.08
2023-02-25T12:05:00.000Z,3920,290881,87.08
2023-02-25T16:45:00.000Z,3960,237048,89.47
2023-02-25T17:35:00.000Z,3960,236714,89.48
2023-02-25T18:35:00.000Z,3960,232137,89.69
2023-02-26T00:00:00.713Z,3990,224014,90.05
2023-02-26T00:05:00.582Z,3990,224014,90.05
2023-02-26T00:10:01.146Z,3990,224014,90.05
2023-02-26T01:15:00.675Z,3990,212015,90.58
2023-02-26T01:40:00.948Z,3990,209327,90.7
2023-02-26T01:45:00.662Z,3990,209327,90.7
2023-02-26T02:05:00.594Z,3990,196842,91.25
2023-02-26T02:55:02.663Z,3990,185350,91.76
2023-02-26T03:05:00.626Z,3990,185350,91.76
2023-02-26T03:35:02.724Z,3990,180960,91.96
2023-02-26T03:45:01.399Z,3990,180960,91.96
2023-02-26T04:10:02.279Z,3990,180781,91.97
2023-02-26T04:30:04.333Z,3990,180781,91.97
2023-02-26T04:45:00.697Z,3990,180592,91.98
2023-02-26T05:10:00.645Z,3990,180551,91.98
2023-02-26T05:25:00.556Z,3990,180551,91.98
2023-02-26T05:40:02.598Z,3990,180551,91.98
2023-02-26T06:10:00.745Z,3990,180551,91.98
2023-02-26T06:30:00.757Z,3990,177268,92.12
2023-02-26T06:45:00.745Z,3990,177268,92.12
2023-02-26T07:10:00.602Z,3990,177268,92.12
2023-02-26T07:25:07.558Z,3990,177268,92.12
2023-02-26T07:40:00.693Z,3990,177268,92.12
2023-02-26T08:10:08.421Z,3990,177067,92.13
2023-02-26T08:30:00.649Z,3990,177067,92.13
2023-02-26T08:40:00.594Z,3990,177067,92.13
2023-02-26T09:10:00.593Z,3990,177067,92.13
2023-02-26T09:25:00.689Z,3990,177067,92.13
2023-02-26T09:40:00.870Z,3990,173169,92.31
2023-02-26T10:10:00.679Z,3990,173141,92.31
2023-02-26T10:30:00.657Z,3990,173141,92.31
2023-02-26T10:40:00.630Z,3990,173141,92.31
2023-02-26T11:05:02.662Z,3990,173141,92.31
2023-02-26T11:20:02.328Z,3990,173141,92.31
2023-02-26T11:40:01.885Z,3990,173542,92.29
2023-02-26T12:20:02.658Z,3990,173112,92.31
2023-02-26T13:00:00.555Z,3990,173222,92.3
2023-02-26T13:25:00.812Z,3990,173222,92.3
2023-02-26T13:40:00.987Z,3990,173222,92.3
2023-02-26T14:05:00.636Z,3990,174020,92.27
2023-02-26T14:25:00.556Z,3990,174020,92.27
2023-02-26T14:40:00.814Z,3990,174020,92.27
2023-02-26T15:10:02.429Z,3990,174020,92.27
2023-02-26T15:25:02.203Z,3990,173844,92.28
2023-02-26T15:40:00.626Z,3990,173844,92.28
2023-02-26T16:10:01.889Z,3990,173816,92.28
2023-02-26T16:35:00.632Z,3990,173816,92.28
2023-02-26T16:45:00.563Z,3990,173816,92.28
2023-02-26T17:05:00.584Z,3990,173816,92.28
2023-02-26T17:25:00.620Z,3990,173816,92.28
2023-02-26T17:40:01.139Z,3990,173512,92.29
2023-02-26T18:10:00.656Z,3990,171228,92.39
2023-02-26T18:30:02.900Z,3990,165132,92.66
2023-02-26T18:40:00.710Z,3990,154845,93.12
