timestamp,zipcode,number_outages,customers_served,customers_affected,percent_affected
2023-02-23T01:29:50.871Z.json,48076,1,12752,4,0.01
2023-02-23T01:29:50.871Z.json,48017,2,6334,41,0.65
2023-02-23T01:29:50.871Z.json,48030,3,8665,4,0.03
2023-02-23T01:29:50.871Z.json,48162,40,14313,1843,12.88
2023-02-23T01:29:50.871Z.json,48328,7,12969,201,1.55
2023-02-23T01:29:50.871Z.json,48178,44,16169,1609,9.95
2023-02-23T01:29:50.871Z.json,48219,14,23764,142,0.6
2023-02-23T01:29:50.871Z.json,48326,11,13404,513,3.83
2023-02-23T01:29:50.871Z.json,48034,2,8487,4,0.02
2023-02-23T01:29:50.871Z.json,48168,12,10515,1036,9.85
2023-02-23T01:29:50.871Z.json,48140,22,1254,72,5.74
2023-02-23T01:29:50.871Z.json,48240,2,7949,4,0.03
2023-02-23T01:29:50.871Z.json,49286,21,275,22,8
2023-02-23T01:29:50.871Z.json,48060,1,20663,4,0.01
2023-02-23T01:29:50.871Z.json,48025,66,6544,306,4.68
2023-02-23T01:29:50.871Z.json,48088,8,9972,466,4.67
2023-02-23T01:29:50.871Z.json,48105,62,18445,3720,20.17
2023-02-23T01:29:50.871Z.json,48095,6,2574,449,17.44
2023-02-23T01:29:50.871Z.json,48104,83,21191,6234,29.42
2023-02-23T01:29:50.871Z.json,49276,1,5,5,100
2023-02-23T01:29:50.871Z.json,48314,10,10215,47,0.46
2023-02-23T01:29:50.871Z.json,48092,2,12359,27,0.22
2023-02-23T01:29:50.871Z.json,48021,2,14880,31,0.21
2023-02-23T01:29:50.871Z.json,48214,8,14048,140,1
2023-02-23T01:29:50.871Z.json,48304,9,7752,132,1.7
2023-02-23T01:29:50.871Z.json,48152,9,14949,714,4.78
2023-02-23T01:29:50.871Z.json,48176,30,10124,427,4.22
2023-02-23T01:29:50.871Z.json,48313,88,14840,2786,18.77
2023-02-23T01:29:50.871Z.json,48203,2,20195,25,0.12
2023-02-23T01:29:50.871Z.json,48108,21,14459,1073,7.42
2023-02-23T01:29:50.871Z.json,48213,5,16310,689,4.22
2023-02-23T01:29:50.871Z.json,48128,2,4656,898,19.29
2023-02-23T01:29:50.871Z.json,48324,7,7326,100,1.37
2023-02-23T01:29:50.871Z.json,48390,8,13543,225,1.66
2023-02-23T01:29:50.871Z.json,48067,1,15296,4,0.01
2023-02-23T01:29:50.871Z.json,48131,20,4301,52,1.21
2023-02-23T01:29:50.871Z.json,48170,26,21437,774,3.61
2023-02-23T01:29:50.871Z.json,48179,3,1554,17,1.09
2023-02-23T01:29:50.871Z.json,48193,7,7607,795,10.45
2023-02-23T01:29:50.871Z.json,48195,13,15338,4674,30.47
2023-02-23T01:29:50.871Z.json,48210,2,15489,4,0.01
2023-02-23T01:29:50.871Z.json,48453,1,2314,4,0.04
2023-02-23T01:29:50.871Z.json,48033,2,9294,4,0.02
2023-02-23T01:29:50.871Z.json,48234,11,18061,68,0.38
2023-02-23T01:29:50.871Z.json,48223,4,14052,21,0.15
2023-02-23T01:29:50.871Z.json,48093,3,11664,4,0.03
2023-02-23T01:29:50.871Z.json,48158,3,896,95,10.6
2023-02-23T01:29:50.871Z.json,48180,47,29830,1852,6.21
2023-02-23T01:29:50.871Z.json,48217,11,4676,277,5.92
2023-02-23T01:29:50.871Z.json,48239,5,16693,5,0.03
